Tax_id,Tax,rev_code,cal_year,fisc_year,month,collections
rpt_q1,First Quarter Bill,00001,2024,2024,01," 76,279,000.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,01," 479,213,357.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,01," 106,424,134.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,01," 988,741,936.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,01," 139,142,219.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,01," 877,947,545.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,01," 407,267,408.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,01," 126,795,421.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,02," 217,992,314.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,02," 412,743,303.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,02," 610,821,368.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,02," 125,456,272.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,02," 144,547,950.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,02," 655,366,792.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,02," 288,917,587.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,02," 471,008,011.00 "
rpt_q1,First Quarter Bill,00001,2024,2024,03," 649,586,870.00 "
rpt_q2,Second Quarter Bill,00002,2024,2024,03," 706,454,153.00 "
rpt_q3,Third Quarter Bill,00003,2024,2024,03," 377,396,097.00 "
rpt_q4,Fourth Quarter Bill,00004,2024,2024,03," 80,055,012.00 "
rpt_q1,First Quarter Bill,00001,2023,2023,03," 840,210,877.00 "
rpt_q2,Second Quarter Bill,00002,2023,2023,03," 205,584,899.00 "
rpt_q3,Third Quarter Bill,00003,2023,2023,03," 68,004,361.00 "
rpt_q4,Fourth Quarter Bill,00004,2023,2023,03," 613,729,309.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,02," 630,771,633.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,02," 908,494,401.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,02," 903,388,012.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,02," 10,142,273.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,03," 97,998,058.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,03," 933,137,003.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,03," 900,888,352.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,03," 950,409,379.00 "
rpt_q1,First Quarter Bill,00001,2021,2021,01," 160,501,214.00 "
rpt_q2,Second Quarter Bill,00002,2021,2021,01," 531,494,343.00 "
rpt_q3,Third Quarter Bill,00003,2021,2021,01," 374,581,032.00 "
rpt_q4,Fourth Quarter Bill,00004,2021,2021,01," 299,780,887.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,02," 792,483,064.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,02," 925,367,440.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,02," 814,812,042.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,02," 980,638,799.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,03," 11,369,911.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,03," 230,289,262.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,03," 420,564,794.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,03," 355,863,292.00 "
rpt_q1,First Quarter Bill,00001,2022,2022,01," 574,102,146.00 "
rpt_q2,Second Quarter Bill,00002,2022,2022,01," 459,139,051.00 "
rpt_q3,Third Quarter Bill,00003,2022,2022,01," 374,696,800.00 "
rpt_q4,Fourth Quarter Bill,00004,2022,2022,01," 206,189,882.00 "
